month,turbcap_resid_wind,offshore_resid_wind,wind_shock
2018m7,-.3391451923576809,-.7472572565906551,-.47814828
2018m8,.3557525053160408,.3165099563570299,.15569845
2018m9,.2489749460566654,.9747245926566078,.34365726
2018m10,.1791145011476912,.296755730846926,.2109368
2018m11,.0202794100486392,.2760870735966384,-.78207064
2018m12,.4101170215214139,.2091156703012535,-.27781996
2019m1,.547350886425591,.4843864210189871,1.6054348
2019m2,-.4233682409811207,-.6562943020928329,-1.0715055
2019m3,.7651939604458501,.7375919906498696,2.2597649
2019m4,.1206629895047854,-.038230084807292,-1.2182919
2019m5,.3959891769618498,.7148444547229128,-.44090682
2019m6,.0727911399097788,.3641915348465561,-.062446393
2019m7,.2046244792784428,.7132640296081604,.53332299
2019m8,-.2600946201909755,-.0677019753062406,-1.6229918
2019m9,.1386237358392463,.3873347955197796,1.1014143
